"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21
1252,st866_Kuusamo_T,2020/05/28,1,"13 Linja-autot",,1,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/05/28,1,"15 KATP",,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/05/28,1,"16 HA + PK",,,,,,,,,,,1,,
1252,st866_Kuusamo_T,2020/05/28,2,"11 HA-PA",,,,1,2,1,,,1,1,3,,
1252,st866_Kuusamo_T,2020/05/28,2,"13 Linja-autot",,,1,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/05/28,2,"15 KATP",,,,2,,,,1,,,,,
1252,st866_Kuusamo_T,2020/05/28,2,"16 HA + PK",,,,,,,,,,,2,,
1252,st866_Kuusamo_T,2020/05/29,1,"11 HA-PA",1,1,1,1,2,3,,,1,,,,
1252,st866_Kuusamo_T,2020/05/29,1,"15 KATP",,1,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/05/29,2,"11 HA-PA",,,1,1,2,3,,,2,2,2,,
1252,st866_Kuusamo_T,2020/05/29,2,"15 KATP",,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/05/30,1,"11 HA-PA",,,1,,,1,,,,,1,,
1252,st866_Kuusamo_T,2020/05/30,2,"11 HA-PA",,,1,,,1,,,,,1,,
1252,st866_Kuusamo_T,2020/05/31,1,"11 HA-PA",,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/05/31,1,"13 Linja-autot",,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/05/31,2,"11 HA-PA",,,1,1,,,,,,,,,
