"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1429,kt91_Rajajooseppi,2020/07/01,1,"14 KAPP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/01,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/01,2,"11 HA-PA",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/02,1,"11 HA-PA",,,,,,,,,,3,,,1,,1,,,,,
1429,kt91_Rajajooseppi,2020/07/02,1,"14 KAPP",,,,,,,,,,,,,,2,,,,,,
1429,kt91_Rajajooseppi,2020/07/02,2,"11 HA-PA",,,,,,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/03,1,"15 KATP",,,,,,,,,,,,,,,,,,1,,
1429,kt91_Rajajooseppi,2020/07/03,2,"11 HA-PA",,,,,,,,,1,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/07/05,1,"11 HA-PA",,,,,,,,,,,,1,2,5,2,1,,,,
1429,kt91_Rajajooseppi,2020/07/05,1,"12 KAIP",,,,,,,,,1,,,,2,2,3,1,,,,
1429,kt91_Rajajooseppi,2020/07/05,1,"14 KAPP",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/05,1,"15 KATP",,,,,,,,,,,1,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/07/05,1,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/05,2,"11 HA-PA",,,,,,,,,,,,,,1,1,2,2,1,,
1429,kt91_Rajajooseppi,2020/07/05,2,"14 KAPP",,,,,,,,,,2,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/06,1,"11 HA-PA",,,,,,,,,,1,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/06,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/06,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/06,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/07,1,"11 HA-PA",,,,,,,,,,,1,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/07/07,2,"11 HA-PA",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/08,1,"11 HA-PA",,,,,,,,,,2,1,,,,1,,1,1,,
1429,kt91_Rajajooseppi,2020/07/08,1,"12 KAIP",,,,,,,,,2,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/08,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/08,1,"15 KATP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/08,1,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/08,2,"12 KAIP",,,,,,,,,,,,,,,,,,1,,
1429,kt91_Rajajooseppi,2020/07/09,1,"11 HA-PA",,,,,,,,,,,,1,,,2,2,5,3,1,
1429,kt91_Rajajooseppi,2020/07/09,1,"12 KAIP",,,,,,,,,,,,1,,3,,,,,,
1429,kt91_Rajajooseppi,2020/07/09,1,"14 KAPP",,,,,,,,,,,,,1,,1,,,1,,
1429,kt91_Rajajooseppi,2020/07/09,1,"15 KATP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/09,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,1,,
1429,kt91_Rajajooseppi,2020/07/09,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/09,2,"11 HA-PA",,,,,,,,,1,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/07/09,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/09,2,"15 KATP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/10,1,"11 HA-PA",,,,,,,,,,,,1,,,1,,,,,
1429,kt91_Rajajooseppi,2020/07/10,1,"12 KAIP",,,,,,,,,,,,,,,,,1,,2,
1429,kt91_Rajajooseppi,2020/07/10,2,"11 HA-PA",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/10,2,"12 KAIP",,,,,,,,,,,,,,,1,,,1,,1
1429,kt91_Rajajooseppi,2020/07/10,2,"14 KAPP",,,,,,,,,2,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/12,1,"11 HA-PA",,,,,,,,,,,,,,,,,,,1,
1429,kt91_Rajajooseppi,2020/07/12,1,"14 KAPP",,,,,,,,,,,2,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/12,2,"11 HA-PA",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/13,1,"11 HA-PA",,,,,,1,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/07/13,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/13,1,"15 KATP",,,,1,,,,,,,2,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/13,2,"11 HA-PA",,,,,,1,,1,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/13,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/13,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/14,1,"11 HA-PA",,,,1,,,3,1,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/14,1,"12 KAIP",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/14,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/14,1,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/14,2,"11 HA-PA",,,,,1,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/14,2,"14 KAPP",,,,1,,,,,2,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/15,1,"11 HA-PA",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/15,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/15,2,"14 KAPP",,,,,,,,,,2,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/16,1,"11 HA-PA",,,,,,,,,,,,1,,1,,,,,1,1
1429,kt91_Rajajooseppi,2020/07/16,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,1,
1429,kt91_Rajajooseppi,2020/07/17,1,"11 HA-PA",,,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/17,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,
