"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20
1430,kt82_Salla_Kelloselkä,2020/07/09,1,"14 KAPP",,,1,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/09,2,"11 HA-PA",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/10,1,"11 HA-PA",,1,,,1,,,1,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/10,1,"13 Linja-autot",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/10,2,"11 HA-PA",,1,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/10,2,"12 KAIP",,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/10,2,"14 KAPP",,,,1,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/11,1,"11 HA-PA",,2,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/07/11,1,"14 KAPP",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/11,2,"14 KAPP",,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/12,1,"11 HA-PA",,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/12,1,"14 KAPP",,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/12,1,"15 KATP",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/13,1,"11 HA-PA",,1,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/13,1,"13 Linja-autot",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/13,2,"11 HA-PA",,1,,,1,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/13,2,"13 Linja-autot",,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/07/13,2,"14 KAPP",,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/14,1,"14 KAPP",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/14,2,"14 KAPP",,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/15,1,"11 HA-PA",,1,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/15,1,"14 KAPP",,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/15,2,"11 HA-PA",,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/16,1,"11 HA-PA",,1,,,,,1,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/16,2,"13 Linja-autot",,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/17,2,"11 HA-PA",,1,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/17,2,"14 KAPP",,,,,,,,,2,2,,
1430,kt82_Salla_Kelloselkä,2020/07/18,1,"11 HA-PA",,1,2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/18,1,"14 KAPP",,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/18,2,"14 KAPP",,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/07/19,1,"11 HA-PA",,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/19,1,"14 KAPP",,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/19,1,"15 KATP",1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/19,2,"11 HA-PA",1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/20,1,"11 HA-PA",,1,,,,,,1,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/20,2,"11 HA-PA",,1,1,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/22,1,"11 HA-PA",,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/22,2,"14 KAPP",,,,,,1,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/23,1,"13 Linja-autot",,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/23,2,"11 HA-PA",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/23,2,"14 KAPP",,,,1,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/07/24,1,"13 Linja-autot",,,,,,1,,,,,,
