"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1435,st954_Muonio,2020/03/01,1,"11 HA-PA",,,,,,,,2,1,4,5,4,3,10,5,4,5,2,4,,2,1,1
1435,st954_Muonio,2020/03/01,1,"12 KAIP",,,,,,,,,,,,,,1,,,,,,,,,
1435,st954_Muonio,2020/03/01,2,"11 HA-PA",,,,1,,,1,1,4,4,7,2,2,3,1,2,3,5,2,1,1,2,1
1435,st954_Muonio,2020/03/01,2,"12 KAIP",1,,,,,,,,,,,,2,,,,,,,,,,
1435,st954_Muonio,2020/03/01,2,"15 KATP",,,,,,,,,,,,,,,,,,,,,1,,
1435,st954_Muonio,2020/03/01,2,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,1,,
1435,st954_Muonio,2020/03/01,2,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,,,,,
1435,st954_Muonio,2020/03/02,1,"11 HA-PA",,,,,,,,4,3,7,7,5,7,6,7,20,7,5,6,3,1,1,
1435,st954_Muonio,2020/03/02,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,
1435,st954_Muonio,2020/03/02,1,"16 HA + PK",,,,,,,,,,,,1,,,,,,,1,,,,
1435,st954_Muonio,2020/03/02,2,"11 HA-PA",,,,1,,1,4,3,2,8,11,9,5,3,10,6,3,8,2,,1,,
1435,st954_Muonio,2020/03/02,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,
1435,st954_Muonio,2020/03/02,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,
1435,st954_Muonio,2020/03/02,2,"16 HA + PK",,,,,,,,,,,1,,,,,1,,,,,,,
1435,st954_Muonio,2020/03/03,1,"11 HA-PA",,,,,,,,1,2,9,6,6,6,7,11,9,9,4,2,3,,,
1435,st954_Muonio,2020/03/03,1,"12 KAIP",,,,,,,,,,,,,,,,1,,,,,,,
1435,st954_Muonio,2020/03/03,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,
1435,st954_Muonio,2020/03/03,2,"11 HA-PA",1,,,1,,1,4,3,9,7,10,11,2,9,3,5,7,3,1,,1,,
1435,st954_Muonio,2020/03/04,1,"11 HA-PA",,,,,1,,,1,4,3,6,6,10,11,7,6,13,5,8,2,,2,
1435,st954_Muonio,2020/03/04,1,"16 HA + PK",,,,,,,,,,,,,1,1,,,,,,,,,
1435,st954_Muonio,2020/03/04,2,"11 HA-PA",1,,,2,,,4,4,5,3,9,8,7,13,5,5,6,10,2,1,,1,1
1435,st954_Muonio,2020/03/04,2,"16 HA + PK",,,,,,,,,,,,1,1,,,1,,,,,,,
1435,st954_Muonio,2020/03/05,1,"11 HA-PA",,,,,,,,4,3,4,11,8,5,7,12,6,7,3,3,3,2,1,1
1435,st954_Muonio,2020/03/05,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,
1435,st954_Muonio,2020/03/05,1,"16 HA + PK",,,,,,,,,,1,,,,1,1,,,,,,,,
1435,st954_Muonio,2020/03/05,2,"11 HA-PA",,,,,,,5,2,2,6,11,5,8,8,10,9,5,5,2,,,,
1435,st954_Muonio,2020/03/05,2,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,
