"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/04/06,1,"16 HA + PK",,,,,,,,,,,,1,2,,2,1,,,,,,
1253,st816_Hailuoto,2020/04/06,1,"17 HA + AV",,,,,,1,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/06,2,"11 HA-PA",,,9,16,8,8,15,2,13,10,26,23,24,,21,14,5,4,5,4,2,
1253,st816_Hailuoto,2020/04/06,2,"12 KAIP",,,1,,,1,1,1,2,6,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/06,2,"13 Linja-autot",,,,,1,,,,,,1,1,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/06,2,"14 KAPP",,,,,1,1,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/06,2,"15 KATP",,,,,,,1,,,2,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/06,2,"16 HA + PK",,,1,,,,1,,,1,,,2,,,1,1,,,,,
1253,st816_Hailuoto,2020/04/06,2,"17 HA + AV",,,,,,,,,,,,,3,,,1,,,1,,,
1253,st816_Hailuoto,2020/04/07,1,"11 HA-PA",,,,,25,16,10,,15,10,19,18,12,,21,8,9,14,5,3,3,4
1253,st816_Hailuoto,2020/04/07,1,"12 KAIP",,,,,2,1,1,,2,,,,1,,1,,,,,,,
1253,st816_Hailuoto,2020/04/07,1,"13 Linja-autot",,,,,1,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/07,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/07,1,"15 KATP",,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/07,1,"16 HA + PK",,,,,2,1,1,,2,1,1,,,,4,,,,,,,
1253,st816_Hailuoto,2020/04/07,1,"17 HA + AV",,,,,1,,,,1,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/07,2,"11 HA-PA",,,9,13,7,9,21,2,13,10,29,30,17,6,26,11,10,3,3,3,3,
1253,st816_Hailuoto,2020/04/07,2,"12 KAIP",,,,,2,,2,1,,1,1,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/07,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/07,2,"14 KAPP",,,,,1,,,,,,1,,,,,,2,,,,,
1253,st816_Hailuoto,2020/04/07,2,"15 KATP",,,,,,1,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/07,2,"16 HA + PK",,,,1,1,,1,,1,,,3,4,1,1,,1,,,,,
1253,st816_Hailuoto,2020/04/07,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/08,1,"11 HA-PA",,,,3,18,20,16,1,13,11,11,19,6,20,23,19,16,,12,4,2,5
1253,st816_Hailuoto,2020/04/08,1,"12 KAIP",,,,,1,,1,,3,,,1,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/08,1,"13 Linja-autot",,,,,1,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/08,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/08,1,"15 KATP",,,,,1,,,,,1,,,,1,1,,,,,,,
1253,st816_Hailuoto,2020/04/08,1,"16 HA + PK",,,,,3,,2,,2,3,1,1,,2,1,,,,1,,,
1253,st816_Hailuoto,2020/04/08,2,"11 HA-PA",,,4,17,11,11,15,2,10,18,16,24,31,9,27,6,7,7,12,1,2,
1253,st816_Hailuoto,2020/04/08,2,"12 KAIP",,,,1,2,,2,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/08,2,"13 Linja-autot",,,,,1,,,,,1,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/08,2,"15 KATP",,,,,1,1,,,,,,1,,1,,1,1,,,,,
1253,st816_Hailuoto,2020/04/08,2,"16 HA + PK",,,1,1,,1,,,2,,1,,6,,2,1,1,,,,,
1253,st816_Hailuoto,2020/04/08,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/09,1,"11 HA-PA",,1,,3,20,16,14,,22,15,20,22,4,27,28,22,22,9,21,3,1,4
1253,st816_Hailuoto,2020/04/09,1,"12 KAIP",,,,,,1,1,,,,,,,1,,,1,1,1,,,1
1253,st816_Hailuoto,2020/04/09,1,"13 Linja-autot",,,,1,,,,,,,1,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/09,1,"14 KAPP",,,,1,,,,,1,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/09,1,"15 KATP",,,,2,,,,,1,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/09,1,"16 HA + PK",,,,,3,,1,,1,1,1,2,,3,2,3,3,,3,2,,
1253,st816_Hailuoto,2020/04/09,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/09,2,"11 HA-PA",,2,3,18,10,15,14,2,8,12,12,30,29,1,25,11,14,6,6,,4,
1253,st816_Hailuoto,2020/04/09,2,"12 KAIP",,,,,3,1,,,,,,,,,,,,,1,,,
1253,st816_Hailuoto,2020/04/09,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/09,2,"14 KAPP",,,,,1,,,,,,,,,,,,2,,,,,
1253,st816_Hailuoto,2020/04/09,2,"15 KATP",,,,,1,,,,,1,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/09,2,"16 HA + PK",,,1,1,1,,,,1,,,4,,,,,,,,,,
1253,st816_Hailuoto,2020/04/09,2,"17 HA + AV",,,,,,,,,,1,,2,1,,,,,,,,,
1253,st816_Hailuoto,2020/04/10,1,"11 HA-PA",,,,,18,24,8,,21,31,39,23,6,28,22,14,14,6,5,3,2,2
1253,st816_Hailuoto,2020/04/10,1,"12 KAIP",,,,,,,1,,1,,,,,,1,,,,,1,,
1253,st816_Hailuoto,2020/04/10,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/10,1,"14 KAPP",,,,,1,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/10,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/10,1,"16 HA + PK",,,,,3,,1,,3,1,6,1,1,2,2,1,1,3,,,,
1253,st816_Hailuoto,2020/04/10,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/10,2,"11 HA-PA",,,,,1,3,7,,8,6,14,37,19,17,20,13,21,13,8,5,4,3
1253,st816_Hailuoto,2020/04/10,2,"12 KAIP",,,,,,1,1,,,1,1,,,,,,1,1,,,,
1253,st816_Hailuoto,2020/04/10,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/10,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/10,2,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/10,2,"16 HA + PK",,,,,,,1,,2,2,,1,2,,,2,,,1,,,
1253,st816_Hailuoto,2020/04/11,1,"11 HA-PA",1,,,2,13,30,16,,39,43,48,21,25,31,28,14,10,,6,2,6,3
1253,st816_Hailuoto,2020/04/11,1,"12 KAIP",,,,,,,,,1,1,,,,,,,,,,,,
