"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22
1430,kt82_Salla_Kelloselkä,2020/02/01,1,"11 HA-PA",1,3,3,4,2,6,4,2,8,5,4,7,5,7,1,
1430,kt82_Salla_Kelloselkä,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/01,1,"14 KAPP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/01,1,"15 KATP",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/01,2,"11 HA-PA",,2,7,12,10,11,9,7,7,1,5,5,4,1,2,
1430,kt82_Salla_Kelloselkä,2020/02/01,2,"13 Linja-autot",,,,,,,,1,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/02/01,2,"14 KAPP",,,,,1,,1,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/02,1,"11 HA-PA",2,1,8,5,7,9,11,12,6,10,8,8,6,15,,
1430,kt82_Salla_Kelloselkä,2020/02/02,1,"12 KAIP",,,,,,,,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/02/02,1,"14 KAPP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/02,1,"16 HA + PK",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/02,2,"11 HA-PA",1,2,5,12,8,5,6,9,4,2,8,4,4,2,1,
1430,kt82_Salla_Kelloselkä,2020/02/02,2,"16 HA + PK",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/03,1,"11 HA-PA",1,4,3,5,4,4,3,1,6,6,7,1,6,4,1,
1430,kt82_Salla_Kelloselkä,2020/02/03,1,"14 KAPP",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/02/03,2,"11 HA-PA",,4,4,4,4,7,5,2,4,4,8,2,3,2,2,
1430,kt82_Salla_Kelloselkä,2020/02/03,2,"12 KAIP",,,,,1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/04,1,"11 HA-PA",1,5,6,3,3,8,4,7,5,4,8,5,4,3,1,
1430,kt82_Salla_Kelloselkä,2020/02/04,2,"11 HA-PA",,2,7,7,7,5,6,7,5,3,5,5,4,1,2,
1430,kt82_Salla_Kelloselkä,2020/02/04,2,"12 KAIP",,,,,,,,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/02/04,2,"14 KAPP",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/04,2,"15 KATP",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/05,1,"11 HA-PA",,,5,6,3,6,10,1,7,4,3,4,6,1,,2
1430,kt82_Salla_Kelloselkä,2020/02/05,1,"13 Linja-autot",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/05,1,"16 HA + PK",,,3,,1,,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/02/05,1,"17 HA + AV",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/05,2,"11 HA-PA",1,1,5,4,7,3,5,11,3,3,3,3,3,5,2,
1430,kt82_Salla_Kelloselkä,2020/02/05,2,"14 KAPP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/05,2,"16 HA + PK",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/06,1,"11 HA-PA",1,5,6,3,6,5,5,2,6,6,5,3,5,1,1,
1430,kt82_Salla_Kelloselkä,2020/02/06,1,"13 Linja-autot",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/06,1,"14 KAPP",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/06,2,"11 HA-PA",,4,4,7,3,9,2,6,7,3,5,1,3,2,2,
1430,kt82_Salla_Kelloselkä,2020/02/06,2,"12 KAIP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/06,2,"13 Linja-autot",,,,,,,1,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/02/07,1,"11 HA-PA",,2,5,6,7,6,3,8,7,4,7,4,8,3,3,
1430,kt82_Salla_Kelloselkä,2020/02/07,1,"16 HA + PK",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/02/07,2,"11 HA-PA",,2,4,9,4,8,6,7,2,9,8,4,6,5,,
1430,kt82_Salla_Kelloselkä,2020/02/07,2,"13 Linja-autot",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/07,2,"15 KATP",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/08,1,"11 HA-PA",,2,3,4,11,4,8,9,8,6,6,10,9,2,5,1
1430,kt82_Salla_Kelloselkä,2020/02/08,1,"15 KATP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/08,2,"11 HA-PA",,3,14,11,8,10,4,7,11,4,4,4,3,3,,
1430,kt82_Salla_Kelloselkä,2020/02/09,1,"11 HA-PA",1,4,3,13,8,9,8,9,11,9,8,8,9,2,1,
1430,kt82_Salla_Kelloselkä,2020/02/09,1,"14 KAPP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/09,1,"15 KATP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/09,2,"11 HA-PA",1,4,3,10,11,5,11,9,8,9,7,4,6,4,1,
1430,kt82_Salla_Kelloselkä,2020/02/09,2,"15 KATP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/09,2,"16 HA + PK",,,,,3,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/10,1,"11 HA-PA",,1,2,4,4,4,3,6,5,3,3,7,3,3,1,
1430,kt82_Salla_Kelloselkä,2020/02/10,1,"15 KATP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/10,2,"11 HA-PA",,2,,4,8,4,4,6,6,6,5,5,,2,1,
1430,kt82_Salla_Kelloselkä,2020/02/10,2,"15 KATP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/11,1,"11 HA-PA",,1,5,4,3,5,9,8,6,7,7,7,7,1,,
1430,kt82_Salla_Kelloselkä,2020/02/11,1,"12 KAIP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/11,2,"11 HA-PA",,1,6,7,6,7,10,3,11,4,7,3,3,5,,
1430,kt82_Salla_Kelloselkä,2020/02/11,2,"16 HA + PK",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/12,1,"11 HA-PA",,7,3,2,5,8,11,4,9,10,3,2,7,4,,
1430,kt82_Salla_Kelloselkä,2020/02/12,1,"12 KAIP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/12,1,"13 Linja-autot",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/02/12,1,"14 KAPP",,1,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/12,1,"16 HA + PK",,,,,,,1,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/12,2,"11 HA-PA",,,3,14,6,8,6,6,3,4,10,3,3,2,2,
1430,kt82_Salla_Kelloselkä,2020/02/12,2,"13 Linja-autot",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/12,2,"15 KATP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/13,1,"11 HA-PA",,2,2,4,6,6,6,9,5,3,6,5,10,1,3,
1430,kt82_Salla_Kelloselkä,2020/02/13,1,"13 Linja-autot",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/13,1,"14 KAPP",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/13,2,"11 HA-PA",,2,4,3,5,5,10,3,7,3,4,5,7,7,,
1430,kt82_Salla_Kelloselkä,2020/02/13,2,"12 KAIP",1,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/13,2,"13 Linja-autot",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/13,2,"14 KAPP",,,1,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/13,2,"15 KATP",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/14,1,"11 HA-PA",1,6,6,7,8,7,7,6,3,6,5,3,7,7,3,
1430,kt82_Salla_Kelloselkä,2020/02/14,1,"12 KAIP",1,,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/14,1,"14 KAPP",,,,,,1,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/02/14,1,"16 HA + PK",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/02/14,2,"11 HA-PA",,5,4,11,14,9,7,9,10,4,11,3,2,4,1,1
1430,kt82_Salla_Kelloselkä,2020/02/14,2,"13 Linja-autot",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/14,2,"14 KAPP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/15,1,"11 HA-PA",,3,6,6,5,6,8,5,9,4,10,4,10,5,1,1
1430,kt82_Salla_Kelloselkä,2020/02/15,1,"12 KAIP",1,,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/15,1,"14 KAPP",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/15,1,"15 KATP",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/15,2,"11 HA-PA",,3,10,14,8,7,9,8,5,10,5,4,4,4,,
1430,kt82_Salla_Kelloselkä,2020/02/15,2,"14 KAPP",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/02/15,2,"16 HA + PK",,1,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/16,1,"11 HA-PA",,5,2,9,9,10,7,12,11,9,9,7,11,4,2,
1430,kt82_Salla_Kelloselkä,2020/02/16,1,"14 KAPP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/16,2,"11 HA-PA",,5,1,10,8,11,7,6,5,5,7,5,7,4,3,1
1430,kt82_Salla_Kelloselkä,2020/02/16,2,"16 HA + PK",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/17,1,"11 HA-PA",,2,2,5,6,3,2,6,10,1,2,7,3,4,,
1430,kt82_Salla_Kelloselkä,2020/02/17,1,"12 KAIP",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/17,1,"15 KATP",,2,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/17,1,"16 HA + PK",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/17,2,"11 HA-PA",,2,2,5,2,6,9,1,7,5,3,2,8,3,,
1430,kt82_Salla_Kelloselkä,2020/02/17,2,"15 KATP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/17,2,"16 HA + PK",1,,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/18,1,"11 HA-PA",,2,13,7,8,3,14,6,7,3,7,8,4,3,1,
1430,kt82_Salla_Kelloselkä,2020/02/18,1,"14 KAPP",,,,,,,,,2,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/18,2,"11 HA-PA",,4,7,12,11,7,5,8,7,4,2,12,7,2,,
1430,kt82_Salla_Kelloselkä,2020/02/18,2,"12 KAIP",1,,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/18,2,"14 KAPP",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/19,1,"11 HA-PA",,2,1,8,3,6,5,7,2,5,7,7,3,,,
1430,kt82_Salla_Kelloselkä,2020/02/19,2,"11 HA-PA",,2,1,2,8,5,6,7,4,6,5,5,5,2,,
1430,kt82_Salla_Kelloselkä,2020/02/19,2,"12 KAIP",1,,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/19,2,"14 KAPP",,,,,,1,,,,,,1,,,,
