"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_07-08,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18
1429,kt91_Rajajooseppi,2020/04/14,1,"17 HA + AV",,,,,,1,,,
1429,kt91_Rajajooseppi,2020/04/14,2,"14 KAPP",,,,2,2,,,2,2
1429,kt91_Rajajooseppi,2020/04/14,2,"17 HA + AV",,,,1,,,,,
1429,kt91_Rajajooseppi,2020/04/15,1,"11 HA-PA",2,,,,,1,,,
1429,kt91_Rajajooseppi,2020/04/15,1,"14 KAPP",,3,,,,3,,,
1429,kt91_Rajajooseppi,2020/04/15,1,"17 HA + AV",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/15,2,"12 KAIP",,,,,,,,1,
1429,kt91_Rajajooseppi,2020/04/15,2,"14 KAPP",,,,3,,,,3,2
1429,kt91_Rajajooseppi,2020/04/15,2,"17 HA + AV",,,,1,,,,,
1429,kt91_Rajajooseppi,2020/04/16,1,"11 HA-PA",,,1,,,,,,
1429,kt91_Rajajooseppi,2020/04/16,1,"14 KAPP",,4,,,2,2,,,
1429,kt91_Rajajooseppi,2020/04/16,1,"16 HA + PK",,,1,,,,,,
1429,kt91_Rajajooseppi,2020/04/16,2,"11 HA-PA",,,,1,,,,,
1429,kt91_Rajajooseppi,2020/04/16,2,"14 KAPP",,,,3,,,2,2,
1429,kt91_Rajajooseppi,2020/04/17,1,"14 KAPP",,3,,,2,2,,,
1429,kt91_Rajajooseppi,2020/04/17,1,"17 HA + AV",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/17,2,"14 KAPP",,,1,2,,,,2,
1429,kt91_Rajajooseppi,2020/04/17,2,"17 HA + AV",,,1,,,,,,
1429,kt91_Rajajooseppi,2020/04/19,2,"12 KAIP",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/20,1,"14 KAPP",,3,,,,,,,
1429,kt91_Rajajooseppi,2020/04/20,1,"15 KATP",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/20,2,"14 KAPP",,,,,2,,,,
1429,kt91_Rajajooseppi,2020/04/21,1,"12 KAIP",,,,,,1,,,
1429,kt91_Rajajooseppi,2020/04/21,1,"14 KAPP",,1,,,,1,,,
1429,kt91_Rajajooseppi,2020/04/21,1,"17 HA + AV",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/21,2,"14 KAPP",,,,2,,,,,
1429,kt91_Rajajooseppi,2020/04/22,1,"11 HA-PA",,1,,,,,,,1
1429,kt91_Rajajooseppi,2020/04/22,1,"14 KAPP",,2,,,,1,,,1
1429,kt91_Rajajooseppi,2020/04/22,2,"11 HA-PA",,,,,1,,,,
1429,kt91_Rajajooseppi,2020/04/22,2,"14 KAPP",,,,2,,,,,2
1429,kt91_Rajajooseppi,2020/04/22,2,"17 HA + AV",,,,1,,,1,,
1429,kt91_Rajajooseppi,2020/04/23,1,"11 HA-PA",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/23,1,"14 KAPP",,1,,,1,2,,1,
1429,kt91_Rajajooseppi,2020/04/23,1,"15 KATP",,,,,,,,1,
1429,kt91_Rajajooseppi,2020/04/23,1,"17 HA + AV",,,,,1,,,,
1429,kt91_Rajajooseppi,2020/04/23,2,"12 KAIP",,,1,,,,,,
1429,kt91_Rajajooseppi,2020/04/23,2,"14 KAPP",,,,2,,,1,,
1429,kt91_Rajajooseppi,2020/04/23,2,"15 KATP",,,,,,,,1,
1429,kt91_Rajajooseppi,2020/04/23,2,"16 HA + PK",,,,,,,1,,
1429,kt91_Rajajooseppi,2020/04/24,1,"11 HA-PA",,1,,,1,,,,
1429,kt91_Rajajooseppi,2020/04/24,1,"14 KAPP",,1,,,1,,,,
1429,kt91_Rajajooseppi,2020/04/24,2,"11 HA-PA",,,,1,,,1,,
1429,kt91_Rajajooseppi,2020/04/24,2,"14 KAPP",,,1,1,,,,1,
1429,kt91_Rajajooseppi,2020/04/24,2,"15 KATP",,,1,,,,,,
1429,kt91_Rajajooseppi,2020/04/24,2,"17 HA + AV",,,,2,,,,1,
1429,kt91_Rajajooseppi,2020/04/27,1,"11 HA-PA",,,,,2,,,,
1429,kt91_Rajajooseppi,2020/04/27,1,"14 KAPP",,,,,,,,2,
1429,kt91_Rajajooseppi,2020/04/27,2,"14 KAPP",,,,,2,,,,
1429,kt91_Rajajooseppi,2020/04/28,1,"14 KAPP",,,,,,1,,,
1429,kt91_Rajajooseppi,2020/04/28,1,"16 HA + PK",,,,,,1,,,
1429,kt91_Rajajooseppi,2020/04/28,2,"14 KAPP",,,,1,,,,,
1429,kt91_Rajajooseppi,2020/04/29,1,"11 HA-PA",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/29,1,"14 KAPP",,1,,,,,2,,
1429,kt91_Rajajooseppi,2020/04/29,1,"15 KATP",,1,,,,,,,
1429,kt91_Rajajooseppi,2020/04/29,2,"11 HA-PA",,,,,1,,,,
1429,kt91_Rajajooseppi,2020/04/29,2,"14 KAPP",,,,2,1,,,,
1429,kt91_Rajajooseppi,2020/04/30,2,"12 KAIP",,,,,1,,,,
