"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19
1430,kt82_Salla_Kelloselkä,2020/04/01,1,"11 HA-PA",,,1,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/01,1,"12 KAIP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/01,1,"13 Linja-autot",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/01,1,"14 KAPP",,3,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/01,1,"15 KATP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/01,2,"11 HA-PA",,1,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/01,2,"13 Linja-autot",,,,,1,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/01,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/01,2,"16 HA + PK",,2,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/02,1,"11 HA-PA",1,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/02,1,"15 KATP",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/02,2,"13 Linja-autot",,,1,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/03,1,"12 KAIP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/03,1,"14 KAPP",,1,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/03,2,"13 Linja-autot",,,,,,,,1,1,
1430,kt82_Salla_Kelloselkä,2020/04/04,1,"11 HA-PA",1,1,,,,,,,,2
1430,kt82_Salla_Kelloselkä,2020/04/04,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/04,2,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/04,2,"13 Linja-autot",,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/05,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/05,1,"12 KAIP",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/05,1,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/05,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/05,2,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/06,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/06,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/06,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/06,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/07,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/07,1,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/07,2,"11 HA-PA",,,,,,,,,2,
1430,kt82_Salla_Kelloselkä,2020/04/07,2,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/04/08,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/08,1,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/08,1,"14 KAPP",,1,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/08,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/08,2,"13 Linja-autot",,,,1,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/09,1,"11 HA-PA",1,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/04/09,1,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/10,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/10,1,"13 Linja-autot",,1,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/10,2,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/10,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/10,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/11,1,"11 HA-PA",1,,1,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/11,1,"15 KATP",,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/11,2,"13 Linja-autot",,,,1,,,,,,
