"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19
1430,kt82_Salla_Kelloselkä,2020/06/19,2,"13 Linja-autot",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/06/20,1,"12 KAIP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/20,1,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/20,2,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/06/20,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/21,1,"11 HA-PA",,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/23,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/23,2,"11 HA-PA",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/06/24,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/24,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/06/25,1,"11 HA-PA",1,,,,,,,1,1,
1430,kt82_Salla_Kelloselkä,2020/06/25,1,"14 KAPP",,2,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/06/25,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/26,2,"14 KAPP",,,,1,2,1,,,,
1430,kt82_Salla_Kelloselkä,2020/06/27,2,"14 KAPP",,,,1,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/28,1,"17 HA + AV",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/29,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/06/29,1,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/29,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/29,2,"14 KAPP",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/30,1,"12 KAIP",,,,,,,,,1,
