"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_05-06,KLO_07-08,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1429,kt91_Rajajooseppi,2020/06/04,2,"13 Linja-autot",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/04,2,"14 KAPP",,,,,,,1,,,,1,1,,,,,,
1429,kt91_Rajajooseppi,2020/06/04,2,"16 HA + PK",,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/06/05,1,"14 KAPP",,,,,3,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/05,2,"14 KAPP",,,,,,,3,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/06,1,"11 HA-PA",,,,,,,,,2,1,,,,,,,1,2
1429,kt91_Rajajooseppi,2020/06/06,1,"12 KAIP",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/06,1,"15 KATP",,,,,,2,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/06,2,"11 HA-PA",,,,,1,,,,,1,,,,,,,,3
1429,kt91_Rajajooseppi,2020/06/07,1,"14 KAPP",,,,,,,,,,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/07,2,"11 HA-PA",1,,,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/08,1,"11 HA-PA",,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/08,1,"14 KAPP",,,,,,,,,,,,2,,,,,,
1429,kt91_Rajajooseppi,2020/06/08,2,"11 HA-PA",,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/08,2,"14 KAPP",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/08,2,"15 KATP",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/09,1,"11 HA-PA",,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/09,1,"12 KAIP",,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/09,1,"14 KAPP",,,,,3,,,,2,2,,2,,,,,,
1429,kt91_Rajajooseppi,2020/06/09,1,"15 KATP",,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/09,2,"14 KAPP",,,,,,,2,2,,,1,1,,,,,,
1429,kt91_Rajajooseppi,2020/06/09,2,"16 HA + PK",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/10,1,"14 KAPP",,,,,3,,,,2,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/06/10,1,"17 HA + AV",,,,,1,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/10,2,"14 KAPP",,,,,,,2,1,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/06/10,2,"17 HA + AV",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/11,1,"14 KAPP",,,,,4,,,1,2,,,2,,,,,,
1429,kt91_Rajajooseppi,2020/06/11,2,"14 KAPP",,,,,,1,1,1,,1,2,,,,,,,
1429,kt91_Rajajooseppi,2020/06/11,2,"17 HA + AV",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/12,2,"11 HA-PA",,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/12,2,"14 KAPP",,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/14,1,"14 KAPP",,,,,,,,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/06/15,1,"11 HA-PA",,,,,1,,1,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/06/15,1,"12 KAIP",,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/15,1,"14 KAPP",,,,,2,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/06/15,1,"15 KATP",,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/06/15,2,"14 KAPP",,,,,,,1,3,2,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/16,1,"14 KAPP",,,,,4,,,,,,,2,,,,,,
1429,kt91_Rajajooseppi,2020/06/16,2,"14 KAPP",,,,,,1,,1,2,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/17,1,"14 KAPP",,,,,,,,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/06/17,2,"14 KAPP",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/17,2,"15 KATP",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/18,1,"11 HA-PA",,,,,,,,,,,1,,,,,,,
