"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22
1430,kt82_Salla_Kelloselkä,2020/03/09,1,"11 HA-PA",,3,5,6,10,18,20,25,35,21,26,17,5,7,1,
1430,kt82_Salla_Kelloselkä,2020/03/09,1,"12 KAIP",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/09,1,"13 Linja-autot",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/09,1,"14 KAPP",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/09,1,"16 HA + PK",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/09,2,"11 HA-PA",1,3,5,8,10,6,3,12,6,6,6,3,2,5,1,
1430,kt82_Salla_Kelloselkä,2020/03/09,2,"13 Linja-autot",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/09,2,"14 KAPP",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/09,2,"16 HA + PK",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/10,1,"11 HA-PA",,9,5,7,2,9,10,4,8,6,3,5,3,2,,
1430,kt82_Salla_Kelloselkä,2020/03/10,1,"13 Linja-autot",,,1,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/10,1,"14 KAPP",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/10,2,"11 HA-PA",,2,9,6,7,6,11,7,3,4,4,2,7,1,1,
1430,kt82_Salla_Kelloselkä,2020/03/10,2,"13 Linja-autot",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/10,2,"14 KAPP",,,,,,1,,1,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/11,1,"11 HA-PA",1,8,4,7,9,6,8,6,5,9,5,10,4,6,1,
1430,kt82_Salla_Kelloselkä,2020/03/11,1,"13 Linja-autot",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/11,1,"14 KAPP",,,1,,,,,1,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/11,2,"11 HA-PA",2,3,4,14,11,12,8,2,3,2,6,8,7,1,3,1
1430,kt82_Salla_Kelloselkä,2020/03/11,2,"14 KAPP",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/12,1,"11 HA-PA",1,4,8,4,10,11,5,10,9,6,5,12,5,4,1,1
1430,kt82_Salla_Kelloselkä,2020/03/12,1,"14 KAPP",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/12,1,"15 KATP",,,,,,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/03/12,1,"16 HA + PK",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/12,2,"11 HA-PA",,2,5,9,8,9,9,5,4,9,3,7,6,5,1,
1430,kt82_Salla_Kelloselkä,2020/03/12,2,"14 KAPP",,,1,,,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/03/12,2,"16 HA + PK",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/13,1,"11 HA-PA",,4,10,5,7,11,6,2,4,5,8,5,7,1,2,
1430,kt82_Salla_Kelloselkä,2020/03/13,1,"13 Linja-autot",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/13,1,"14 KAPP",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/13,1,"16 HA + PK",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/13,2,"11 HA-PA",,2,11,7,6,5,9,2,5,3,2,4,6,2,,
1430,kt82_Salla_Kelloselkä,2020/03/13,2,"13 Linja-autot",,,,,,,1,,,,1,,,,,
