"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_02-03,KLO_03-04,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1252,st866_Kuusamo_T,2020/03/01,1,"11 HA-PA",,,,,,5,4,6,6,11,8,4,7,5,4,9,2,,,,,
1252,st866_Kuusamo_T,2020/03/01,1,"14 KAPP",,,,,,3,,3,2,,,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/03/01,1,"17 HA + AV",,,,,,,,1,2,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/01,2,"11 HA-PA",,,,,,,1,5,5,9,6,5,7,2,5,6,8,3,,,,
1252,st866_Kuusamo_T,2020/03/01,2,"12 KAIP",,,,,,,,,,,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/01,2,"14 KAPP",,,,,,,,,1,,,,1,1,2,1,,,,,,
1252,st866_Kuusamo_T,2020/03/02,1,"11 HA-PA",,,,,,4,7,12,7,8,9,7,3,7,7,7,,,,,,
1252,st866_Kuusamo_T,2020/03/02,1,"12 KAIP",,,,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/02,1,"14 KAPP",,,,,,,2,1,4,,1,,3,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/02,1,"15 KATP",,,,,,,,,,,1,1,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/02,2,"11 HA-PA",,,,,,,,11,7,6,5,9,7,4,7,7,1,3,,,,
1252,st866_Kuusamo_T,2020/03/02,2,"12 KAIP",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/02,2,"14 KAPP",,,,,,,,,,1,1,,3,,3,,,,,,,
1252,st866_Kuusamo_T,2020/03/02,2,"15 KATP",,,,,,,,1,,1,1,1,,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/03,1,"11 HA-PA",,,,,,3,17,9,6,9,14,7,6,8,8,6,1,,,,,
1252,st866_Kuusamo_T,2020/03/03,1,"12 KAIP",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/03,1,"14 KAPP",,,,,,,8,,3,,1,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/03/03,1,"15 KATP",,,,,,,,,,1,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/03,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/03,1,"17 HA + AV",,,,,,,1,,1,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/03,2,"11 HA-PA",,,,,,,1,8,7,7,9,8,12,2,2,10,8,4,,,,
1252,st866_Kuusamo_T,2020/03/03,2,"14 KAPP",,,,,,,,,1,,1,,,2,2,3,1,,,,,
1252,st866_Kuusamo_T,2020/03/03,2,"15 KATP",,,,,,,,,1,1,,1,1,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/03,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/04,1,"11 HA-PA",,,,,,9,6,6,5,8,8,7,2,6,15,3,4,,,,,
1252,st866_Kuusamo_T,2020/03/04,1,"12 KAIP",,,,,,2,,,1,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/04,1,"14 KAPP",,,,,,3,2,1,,,,4,2,,1,,1,,,,,
1252,st866_Kuusamo_T,2020/03/04,1,"15 KATP",,,,,,,1,,,1,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/04,1,"16 HA + PK",,,,,,2,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/04,2,"11 HA-PA",,,,,,,5,2,10,3,10,5,7,3,10,11,3,4,,,,
1252,st866_Kuusamo_T,2020/03/04,2,"12 KAIP",,,,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/04,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/04,2,"14 KAPP",,,,,,,,1,2,1,1,,1,2,1,2,,,,,,
1252,st866_Kuusamo_T,2020/03/04,2,"15 KATP",,,,,,,,,,2,,1,1,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/05,1,"11 HA-PA",,,,,,6,6,4,7,6,10,3,7,7,7,16,2,,,,,
1252,st866_Kuusamo_T,2020/03/05,1,"12 KAIP",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/05,1,"14 KAPP",,,,,,1,4,,,1,1,,3,1,,1,1,,,,,
1252,st866_Kuusamo_T,2020/03/05,1,"15 KATP",,,,,,,1,,,,,1,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/05,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/05,2,"11 HA-PA",,,,,,,2,7,4,11,8,6,3,2,7,9,10,4,,,,
1252,st866_Kuusamo_T,2020/03/05,2,"14 KAPP",,,,,,,1,,1,3,,,2,,2,2,,,,,,
1252,st866_Kuusamo_T,2020/03/05,2,"15 KATP",,,,,,,,,,1,1,1,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/05,2,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/06,1,"11 HA-PA",,,,,1,5,6,9,11,6,4,7,3,7,7,6,1,,,,,
