"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/03/01,1,"11 HA-PA",2,,,,,,3,,5,14,17,23,15,12,8,,17,9,12,4,7,,
1253,st816_Hailuoto,2020/03/01,1,"12 KAIP",,,,,,,,,1,1,,,1,,,,1,,,,1,,
1253,st816_Hailuoto,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,2,,,,,,
1253,st816_Hailuoto,2020/03/01,1,"16 HA + PK",,,,,,,,,,,1,2,,1,1,,,1,,,,,
1253,st816_Hailuoto,2020/03/01,2,"11 HA-PA",,,,,2,1,3,11,,34,12,9,21,31,5,29,20,18,3,7,1,,
1253,st816_Hailuoto,2020/03/01,2,"12 KAIP",,,,,,,1,,,2,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/01,2,"15 KATP",,,,,,,,,,,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/03/01,2,"16 HA + PK",,,,,,,,1,,,,,,,,1,1,1,,,,,
1253,st816_Hailuoto,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/03/02,1,"11 HA-PA",,,,,2,9,18,3,,8,21,23,14,,19,31,,19,11,5,,8,5
1253,st816_Hailuoto,2020/03/02,1,"12 KAIP",,,,,1,,,2,,3,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/02,1,"13 Linja-autot",,,,,1,,,,,1,,,,,,1,,1,,,,,
1253,st816_Hailuoto,2020/03/02,1,"16 HA + PK",,,,,,,1,,,,,1,,,2,,,,,,,,
1253,st816_Hailuoto,2020/03/02,1,"17 HA + AV",,,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/03/02,2,"11 HA-PA",,,,5,16,13,15,20,1,10,9,20,11,20,3,22,9,11,5,2,1,,
1253,st816_Hailuoto,2020/03/02,2,"12 KAIP",,,,3,,,,,2,,,1,,,,,,2,,,,,
1253,st816_Hailuoto,2020/03/02,2,"13 Linja-autot",,,,,,1,,,,,1,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/02,2,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/03/02,2,"16 HA + PK",,,,,1,3,1,,,1,,,1,,,1,1,,,,,,
1253,st816_Hailuoto,2020/03/03,1,"11 HA-PA",,,,,,12,10,16,8,11,18,1,14,17,22,24,17,11,1,10,5,4,1
1253,st816_Hailuoto,2020/03/03,1,"12 KAIP",,,,,,3,1,1,1,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/03/03,1,"13 Linja-autot",,,,,,1,,,1,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/03/03,1,"14 KAPP",,,,,,,,1,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/03/03,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/03/03,1,"16 HA + PK",,,,,,1,,1,,,1,,,,1,,3,1,1,,,,
1253,st816_Hailuoto,2020/03/03,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,1,,,
1253,st816_Hailuoto,2020/03/03,2,"11 HA-PA",1,,,12,17,13,5,10,2,24,11,11,19,20,3,30,5,8,2,6,2,,
1253,st816_Hailuoto,2020/03/03,2,"12 KAIP",,,,1,,2,1,,1,1,,1,,,,1,,,,,,,
1253,st816_Hailuoto,2020/03/03,2,"13 Linja-autot",,,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/03,2,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/03/03,2,"15 KATP",,,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/03/03,2,"16 HA + PK",,,,,,,,1,,,,1,,,,1,2,,,,1,,
1253,st816_Hailuoto,2020/03/04,1,"11 HA-PA",,,,,,4,12,5,14,18,1,19,13,17,24,33,24,,15,13,8,5,
1253,st816_Hailuoto,2020/03/04,1,"12 KAIP",,,,,,1,,1,,2,,,,,,1,1,,,,,,1
1253,st816_Hailuoto,2020/03/04,1,"13 Linja-autot",,,,,,2,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/03/04,1,"15 KATP",,,,,,,,,,,,,,,,,,,,,,,1
1253,st816_Hailuoto,2020/03/04,1,"16 HA + PK",,,,,,,,,,,,1,1,,1,,1,,,,,,
1253,st816_Hailuoto,2020/03/04,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,
1253,st816_Hailuoto,2020/03/04,2,"11 HA-PA",,,,5,18,14,13,10,9,20,19,9,14,18,15,20,12,12,3,7,,,
1253,st816_Hailuoto,2020/03/04,2,"12 KAIP",,,,,,,2,,1,1,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/04,2,"13 Linja-autot",,,,,,,1,,,,,2,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/03/04,2,"16 HA + PK",,,,,,,1,,1,,,,,,1,,1,,,,,,
1253,st816_Hailuoto,2020/03/04,2,"17 HA + AV",,,,,,,,,,,1,,,,1,,,,,,,,
1253,st816_Hailuoto,2020/03/05,1,"11 HA-PA",4,,2,,,2,12,14,11,11,6,7,,10,18,17,14,19,3,13,6,6,5
1253,st816_Hailuoto,2020/03/05,1,"12 KAIP",,,,,,2,,,1,1,,,,,1,,,,,,,,
