"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_01-02,KLO_02-03,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21
1252,st866_Kuusamo_T,2020/02/01,1,"11 HA-PA",,,,,4,8,3,12,1,6,3,8,12,5,7,3,,
1252,st866_Kuusamo_T,2020/02/01,1,"12 KAIP",,,,,,,,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/01,1,"14 KAPP",,,,,,3,,,2,1,1,1,,,,,,
1252,st866_Kuusamo_T,2020/02/01,1,"15 KATP",,,,,,,,1,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/01,2,"11 HA-PA",,,,,,7,5,8,9,3,5,1,8,8,7,3,2,
1252,st866_Kuusamo_T,2020/02/01,2,"12 KAIP",,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/01,2,"14 KAPP",,,,,,,,2,2,,1,1,,1,,,,
1252,st866_Kuusamo_T,2020/02/01,2,"15 KATP",,,,,,,,,1,,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/02,1,"11 HA-PA",,,,,4,4,5,6,5,9,10,3,4,3,8,,,
1252,st866_Kuusamo_T,2020/02/02,1,"14 KAPP",,,,,,5,,,,,,,,,1,,,
1252,st866_Kuusamo_T,2020/02/02,1,"16 HA + PK",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/02,2,"11 HA-PA",,,,,,,4,6,5,6,10,6,4,3,4,6,3,
1252,st866_Kuusamo_T,2020/02/02,2,"12 KAIP",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/02,2,"14 KAPP",,,,,,,,,2,,,,,,2,1,2,
1252,st866_Kuusamo_T,2020/02/03,1,"11 HA-PA",,,,,6,5,4,6,5,4,5,2,2,5,7,4,,
1252,st866_Kuusamo_T,2020/02/03,1,"12 KAIP",,,,,3,,,,,,,,,2,1,,,
1252,st866_Kuusamo_T,2020/02/03,1,"14 KAPP",,,,,,,,,,1,,,,3,1,1,,
1252,st866_Kuusamo_T,2020/02/03,1,"15 KATP",,,,,,1,,,1,,,,,1,,,,
1252,st866_Kuusamo_T,2020/02/03,1,"16 HA + PK",,,,,1,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/03,1,"17 HA + AV",,,,,1,,,,,,,,,,1,,,
1252,st866_Kuusamo_T,2020/02/03,2,"11 HA-PA",,,,,1,1,5,3,5,6,7,2,5,3,3,5,4,
1252,st866_Kuusamo_T,2020/02/03,2,"12 KAIP",,,,,4,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/03,2,"14 KAPP",,,,,,1,,,,,,2,,,,,,
1252,st866_Kuusamo_T,2020/02/03,2,"15 KATP",,,,,,,,,,,3,,1,,,,,
1252,st866_Kuusamo_T,2020/02/03,2,"17 HA + AV",,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/04,1,"11 HA-PA",,,,,5,5,4,5,7,6,4,6,5,5,1,1,,
1252,st866_Kuusamo_T,2020/02/04,1,"12 KAIP",,,,,,,,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/04,1,"14 KAPP",,,,,,1,,,,1,2,,1,,,,,
1252,st866_Kuusamo_T,2020/02/04,1,"15 KATP",,,,,,1,,,,1,2,,1,,,,,
1252,st866_Kuusamo_T,2020/02/04,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/04,2,"11 HA-PA",,,,,,4,3,4,8,6,5,4,3,8,2,2,3,
1252,st866_Kuusamo_T,2020/02/04,2,"12 KAIP",,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/04,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/04,2,"14 KAPP",,,,,,1,,1,2,,,2,,1,,,,
1252,st866_Kuusamo_T,2020/02/04,2,"15 KATP",,,,,,,,1,,1,1,1,1,,1,,,
1252,st866_Kuusamo_T,2020/02/05,1,"11 HA-PA",,,,,9,4,8,3,10,5,3,2,11,4,5,1,,
1252,st866_Kuusamo_T,2020/02/05,1,"12 KAIP",,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/05,1,"14 KAPP",,,,,,3,,,2,,,,1,,,,,
1252,st866_Kuusamo_T,2020/02/05,1,"15 KATP",,,,,1,,,1,,1,1,1,1,,,,,
1252,st866_Kuusamo_T,2020/02/05,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/05,2,"11 HA-PA",,,,,,4,5,7,5,10,2,3,4,11,3,5,3,
1252,st866_Kuusamo_T,2020/02/05,2,"12 KAIP",,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/05,2,"14 KAPP",,,,,,,1,,,,1,2,,2,1,,,
1252,st866_Kuusamo_T,2020/02/05,2,"15 KATP",,,,,,,,1,,,1,,2,,1,,,
1252,st866_Kuusamo_T,2020/02/05,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/02/06,1,"11 HA-PA",,,,,,,,,8,8,10,3,6,4,7,1,,
1252,st866_Kuusamo_T,2020/02/06,1,"12 KAIP",,,,,,,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/02/06,1,"14 KAPP",,,,,,,,2,1,1,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/06,1,"15 KATP",,,,,,,,,2,1,2,,,,,,,
1252,st866_Kuusamo_T,2020/02/06,1,"17 HA + AV",,,,,,,,,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/02/06,2,"11 HA-PA",,,,,,,,3,3,9,8,7,5,4,9,3,3,
1252,st866_Kuusamo_T,2020/02/06,2,"14 KAPP",,,,,,,,,,,,1,,1,2,2,,
1252,st866_Kuusamo_T,2020/02/06,2,"15 KATP",,,,,,,,,,1,1,,,,1,2,,
1252,st866_Kuusamo_T,2020/02/06,2,"16 HA + PK",,,,,,,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/02/07,1,"11 HA-PA",,,,,2,4,9,5,3,6,3,12,12,6,4,1,,
