"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_01-02,KLO_02-03,KLO_04-05,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_23-00
1429,kt91_Rajajooseppi,2020/02/20,2,"12 KAIP",,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/20,2,"14 KAPP",,,,,,2,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/20,2,"15 KATP",,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/21,1,"11 HA-PA",,,,5,3,2,2,9,3,6,3,6,6,8,3,1,1,,
1429,kt91_Rajajooseppi,2020/02/21,1,"12 KAIP",,,,,,,1,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/21,1,"14 KAPP",,,,1,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/21,1,"15 KATP",,,,1,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/02/21,1,"16 HA + PK",,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/02/21,2,"11 HA-PA",,,,2,10,9,7,6,18,6,1,7,3,12,6,7,2,,
1429,kt91_Rajajooseppi,2020/02/21,2,"12 KAIP",,,,,,,,1,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/02/21,2,"14 KAPP",,,,,1,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/21,2,"15 KATP",,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/21,2,"16 HA + PK",,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/22,1,"11 HA-PA",,,,2,1,4,5,2,6,11,4,15,6,8,5,2,2,,
1429,kt91_Rajajooseppi,2020/02/22,1,"15 KATP",,1,,,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/22,1,"16 HA + PK",,,1,,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/22,2,"11 HA-PA",,,,2,6,26,40,30,10,9,17,7,5,1,6,2,,,
1429,kt91_Rajajooseppi,2020/02/22,2,"12 KAIP",,,,1,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/22,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/02/22,2,"16 HA + PK",,,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/23,1,"11 HA-PA",,,,2,2,1,1,4,10,6,2,1,14,1,2,7,3,,
1429,kt91_Rajajooseppi,2020/02/23,2,"11 HA-PA",,,,1,6,7,13,6,13,5,7,11,4,3,,3,2,,
1429,kt91_Rajajooseppi,2020/02/23,2,"15 KATP",,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/02/24,1,"11 HA-PA",,,,3,3,3,5,7,11,14,12,12,11,8,10,3,2,,
1429,kt91_Rajajooseppi,2020/02/24,1,"12 KAIP",,,,,,,,,,,,,,1,,,1,,
1429,kt91_Rajajooseppi,2020/02/24,1,"14 KAPP",,,,,,,,,,,,,,,,,1,,
1429,kt91_Rajajooseppi,2020/02/24,1,"16 HA + PK",,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/02/24,2,"11 HA-PA",,,,4,12,17,19,12,11,3,8,10,6,,,2,,,
1429,kt91_Rajajooseppi,2020/02/24,2,"14 KAPP",,,,,,,,,,2,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/24,2,"16 HA + PK",,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/24,2,"17 HA + AV",,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/25,1,"11 HA-PA",,,,,,,3,4,3,8,4,2,3,4,3,2,3,,
1429,kt91_Rajajooseppi,2020/02/25,1,"14 KAPP",,,,,,,,,,,,,,,,,1,,
1429,kt91_Rajajooseppi,2020/02/25,2,"11 HA-PA",,,,,,3,4,6,4,5,7,,,1,,3,2,,
1429,kt91_Rajajooseppi,2020/02/25,2,"12 KAIP",,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/02/25,2,"14 KAPP",,,,,,,,,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/02/26,1,"11 HA-PA",,,,1,1,1,,6,9,2,5,6,4,1,5,1,,,
1429,kt91_Rajajooseppi,2020/02/26,1,"14 KAPP",,,,,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/02/26,2,"11 HA-PA",,,,4,4,6,5,7,12,4,,4,4,2,1,,6,,
1429,kt91_Rajajooseppi,2020/02/26,2,"14 KAPP",,,,,,,1,,,2,,,,,2,,,,
1429,kt91_Rajajooseppi,2020/02/26,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/27,1,"11 HA-PA",,,,1,1,,1,2,1,4,3,6,4,3,5,3,,,
1429,kt91_Rajajooseppi,2020/02/27,1,"14 KAPP",,,,1,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/02/27,1,"15 KATP",,,,1,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/27,2,"11 HA-PA",,,,2,3,8,4,10,10,,6,1,2,4,5,1,,,
1429,kt91_Rajajooseppi,2020/02/27,2,"12 KAIP",,,,,,,,,2,,,,,2,,,,,
1429,kt91_Rajajooseppi,2020/02/27,2,"14 KAPP",,,,,,1,,,,2,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/02/27,2,"15 KATP",,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/02/28,1,"11 HA-PA",,,,,3,2,,4,2,2,3,5,5,3,3,3,2,,
1429,kt91_Rajajooseppi,2020/02/28,1,"14 KAPP",,,,4,,,,1,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/28,1,"17 HA + AV",,,,,,1,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/28,2,"11 HA-PA",,,,6,4,11,2,1,13,7,1,3,5,1,2,5,1,,
