Station id,Station name,Date,Number of trips
16,Liisanpuistikko,2020-03-27,39
16,Liisanpuistikko,2020-03-28,37
16,Liisanpuistikko,2020-03-29,42
16,Liisanpuistikko,2020-03-30,42
17,Varsapuistikko,2020-03-23,16
17,Varsapuistikko,2020-03-24,21
17,Varsapuistikko,2020-03-25,29
17,Varsapuistikko,2020-03-26,25
17,Varsapuistikko,2020-03-27,23
17,Varsapuistikko,2020-03-28,24
17,Varsapuistikko,2020-03-29,17
17,Varsapuistikko,2020-03-30,28
18,Porthania,2020-03-23,7
18,Porthania,2020-03-24,8
18,Porthania,2020-03-25,12
18,Porthania,2020-03-26,22
18,Porthania,2020-03-27,14
18,Porthania,2020-03-28,12
18,Porthania,2020-03-29,18
18,Porthania,2020-03-30,23
19,Rautatientori / itä,2020-03-23,23
19,Rautatientori / itä,2020-03-24,23
19,Rautatientori / itä,2020-03-25,27
19,Rautatientori / itä,2020-03-26,38
19,Rautatientori / itä,2020-03-27,27
19,Rautatientori / itä,2020-03-28,35
19,Rautatientori / itä,2020-03-29,29
19,Rautatientori / itä,2020-03-30,37
20,Kaisaniemenpuisto,2020-03-23,0
20,Kaisaniemenpuisto,2020-03-24,0
20,Kaisaniemenpuisto,2020-03-25,0
20,Kaisaniemenpuisto,2020-03-26,14
20,Kaisaniemenpuisto,2020-03-27,22
20,Kaisaniemenpuisto,2020-03-28,14
20,Kaisaniemenpuisto,2020-03-29,18
20,Kaisaniemenpuisto,2020-03-30,22
21,Töölönlahdenkatu,2020-03-23,35
21,Töölönlahdenkatu,2020-03-24,29
21,Töölönlahdenkatu,2020-03-25,38
21,Töölönlahdenkatu,2020-03-26,40
21,Töölönlahdenkatu,2020-03-27,47
21,Töölönlahdenkatu,2020-03-28,63
21,Töölönlahdenkatu,2020-03-29,46
21,Töölönlahdenkatu,2020-03-30,58
22,Rautatientori / länsi,2020-03-23,28
22,Rautatientori / länsi,2020-03-24,19
22,Rautatientori / länsi,2020-03-25,38
22,Rautatientori / länsi,2020-03-26,35
22,Rautatientori / länsi,2020-03-27,25
22,Rautatientori / länsi,2020-03-28,43
22,Rautatientori / länsi,2020-03-29,39
22,Rautatientori / länsi,2020-03-30,42
23,Kiasma,2020-03-23,17
23,Kiasma,2020-03-24,19
23,Kiasma,2020-03-25,23
23,Kiasma,2020-03-26,22
23,Kiasma,2020-03-27,16
23,Kiasma,2020-03-28,17
23,Kiasma,2020-03-29,6
23,Kiasma,2020-03-30,20
24,Mannerheimintie,2020-03-23,16
24,Mannerheimintie,2020-03-24,22
24,Mannerheimintie,2020-03-25,21
24,Mannerheimintie,2020-03-26,26
24,Mannerheimintie,2020-03-27,36
24,Mannerheimintie,2020-03-28,33
24,Mannerheimintie,2020-03-29,25
24,Mannerheimintie,2020-03-30,24
25,Narinkka,2020-03-23,14
25,Narinkka,2020-03-24,9
25,Narinkka,2020-03-25,18
25,Narinkka,2020-03-26,25
25,Narinkka,2020-03-27,34
25,Narinkka,2020-03-28,24
25,Narinkka,2020-03-29,19
25,Narinkka,2020-03-30,32
26,Kamppi (M),2020-03-23,31
26,Kamppi (M),2020-03-24,41
26,Kamppi (M),2020-03-25,20
26,Kamppi (M),2020-03-26,42
26,Kamppi (M),2020-03-27,40
26,Kamppi (M),2020-03-28,55
26,Kamppi (M),2020-03-29,27
26,Kamppi (M),2020-03-30,35
27,Eerikinkatu,2020-03-23,6
27,Eerikinkatu,2020-03-24,8
27,Eerikinkatu,2020-03-25,6
27,Eerikinkatu,2020-03-26,6
27,Eerikinkatu,2020-03-27,11
27,Eerikinkatu,2020-03-28,6
27,Eerikinkatu,2020-03-29,10
27,Eerikinkatu,2020-03-30,9
28,Lastenlehto,2020-03-23,17
28,Lastenlehto,2020-03-24,15
28,Lastenlehto,2020-03-25,17
28,Lastenlehto,2020-03-26,19
28,Lastenlehto,2020-03-27,22
28,Lastenlehto,2020-03-28,15
28,Lastenlehto,2020-03-29,24
28,Lastenlehto,2020-03-30,25
29,Baana,2020-03-23,14
29,Baana,2020-03-24,27
29,Baana,2020-03-25,31
29,Baana,2020-03-26,41
29,Baana,2020-03-27,31
29,Baana,2020-03-28,45
29,Baana,2020-03-29,40
29,Baana,2020-03-30,40
30,Itämerentori,2020-03-23,57
30,Itämerentori,2020-03-24,78
30,Itämerentori,2020-03-25,65
30,Itämerentori,2020-03-26,73
30,Itämerentori,2020-03-27,86
30,Itämerentori,2020-03-28,138
30,Itämerentori,2020-03-29,126
30,Itämerentori,2020-03-30,93
31,Marian sairaala,2020-03-23,20
31,Marian sairaala,2020-03-24,15
31,Marian sairaala,2020-03-25,22
31,Marian sairaala,2020-03-26,19
31,Marian sairaala,2020-03-27,36
31,Marian sairaala,2020-03-28,38
31,Marian sairaala,2020-03-29,33
31,Marian sairaala,2020-03-30,33
32,Eläinmuseo,2020-03-23,11
32,Eläinmuseo,2020-03-24,5
32,Eläinmuseo,2020-03-25,7
32,Eläinmuseo,2020-03-26,6
32,Eläinmuseo,2020-03-27,10
32,Eläinmuseo,2020-03-28,10
32,Eläinmuseo,2020-03-29,4
32,Eläinmuseo,2020-03-30,18
33,Kauppakorkeakoulu,2020-03-23,14
33,Kauppakorkeakoulu,2020-03-24,15
33,Kauppakorkeakoulu,2020-03-25,10
33,Kauppakorkeakoulu,2020-03-26,16
33,Kauppakorkeakoulu,2020-03-27,10
33,Kauppakorkeakoulu,2020-03-28,19
33,Kauppakorkeakoulu,2020-03-29,11
33,Kauppakorkeakoulu,2020-03-30,13
34,Kansallismuseo,2020-03-23,10
34,Kansallismuseo,2020-03-24,11
34,Kansallismuseo,2020-03-25,23
34,Kansallismuseo,2020-03-26,20
34,Kansallismuseo,2020-03-27,9
34,Kansallismuseo,2020-03-28,10
