country,date,new_infections,new_infections_smooth,new_deaths,new_deaths_smooth,total_deaths_per_million,traffic_retail,traffic_supermarket,traffic_parks,traffic_transit_stations,traffic_workplaces,traffic_residential
Germany,2020-02-01,2.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-02,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-03,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-04,2.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-05,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-06,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-07,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-08,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-09,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-10,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-11,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-12,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-13,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-14,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-15,0.0,0,0.0,0,0.0,6.0,1.0,45.0,10.0,0.0,-1.0
Germany,2020-02-16,0.0,0,0.0,0,0.0,7.0,10.0,9.0,6.0,-1.0,0.0
Germany,2020-02-17,0.0,0,0.0,0,0.0,2.0,2.0,7.0,1.0,-2.0,0.0
Germany,2020-02-18,0.0,0,0.0,0,0.0,2.0,2.0,10.0,1.0,-1.0,1.0
Germany,2020-02-19,0.0,0,0.0,0,0.0,3.0,0.0,6.0,-1.0,-1.0,1.0
Germany,2020-02-20,0.0,0,0.0,0,0.0,2.0,-1.0,14.0,3.0,-4.0,1.0
Germany,2020-02-21,0.0,0,0.0,0,0.0,2.0,2.0,15.0,-1.0,-8.0,2.0
Germany,2020-02-22,0.0,0,0.0,0,0.0,-1.0,-2.0,26.0,9.0,-3.0,0.0
Germany,2020-02-23,0.0,0,0.0,0,0.0,0.0,9.0,-24.0,2.0,-3.0,0.0
Germany,2020-02-24,0.0,0,0.0,0,0.0,2.0,-5.0,17.0,-5.0,-20.0,4.0
Germany,2020-02-25,0.0,0,0.0,0,0.0,-1.0,-1.0,15.0,-5.0,-13.0,4.0
Germany,2020-02-26,2.0,0,0.0,0,0.0,-3.0,0.0,0.0,-7.0,-5.0,2.0
Germany,2020-02-27,4.0,0,0.0,0,0.0,-5.0,3.0,-3.0,-5.0,-4.0,2.0
Germany,2020-02-28,26.0,4,0.0,0,0.0,3.0,11.0,9.0,-2.0,-5.0,2.0
Germany,2020-02-29,10.0,6,0.0,0,0.0,-1.0,5.0,9.0,1.0,-1.0,1.0
Germany,2020-03-01,54.0,13,0.0,0,0.0,8.0,18.0,21.0,4.0,1.0,0.0
Germany,2020-03-02,18.0,16,0.0,0,0.0,2.0,8.0,9.0,-1.0,0.0,0.0
Germany,2020-03-03,28.0,20,0.0,0,0.0,0.0,5.0,8.0,-3.0,0.0,1.0
Germany,2020-03-04,39.0,25,0.0,0,0.0,2.0,2.0,14.0,-4.0,0.0,1.0
Germany,2020-03-05,66.0,34,0.0,0,0.0,-4.0,0.0,0.0,-5.0,0.0,1.0
Germany,2020-03-06,138.0,50,0.0,0,0.0,-3.0,1.0,-11.0,-7.0,-1.0,2.0
Germany,2020-03-07,284.0,89,0.0,0,0.0,1.0,0.0,19.0,-2.0,0.0,1.0
Germany,2020-03-08,163.0,105,0.0,0,0.0,12.0,19.0,31.0,2.0,1.0,0.0
Germany,2020-03-09,55.0,110,0.0,0,0.0,-1.0,2.0,7.0,-5.0,-1.0,1.0
Germany,2020-03-10,237.0,140,2.0,0,0.024,-7.0,-2.0,-13.0,-8.0,-1.0,3.0
Germany,2020-03-11,157.0,157,0.0,0,0.024,-1.0,2.0,17.0,-7.0,-1.0,2.0
Germany,2020-03-12,271.0,186,1.0,0,0.036000000000000004,-7.0,6.0,4.0,-9.0,-2.0,2.0
Germany,2020-03-13,802.0,281,2.0,0,0.06,-9.0,19.0,-3.0,-15.0,-4.0,4.0
Germany,2020-03-14,693.0,339,0.0,0,0.06,-17.0,9.0,33.0,-19.0,-3.0,4.0
Germany,2020-03-15,733.0,421,3.0,1,0.095,-12.0,13.0,75.0,-16.0,-5.0,2.0
Germany,2020-03-16,1043.0,562,4.0,1,0.14300000000000002,-7.0,22.0,40.0,-25.0,-18.0,6.0
Germany,2020-03-17,1174.0,696,1.0,1,0.155,-21.0,11.0,31.0,-35.0,-25.0,10.0
Germany,2020-03-18,1144.0,837,0.0,1,0.155,-34.0,5.0,44.0,-39.0,-30.0,11.0
Germany,2020-03-19,1042.0,947,0.0,1,0.155,-45.0,-3.0,15.0,-46.0,-33.0,14.0
Germany,2020-03-20,5940.0,1681,30.0,5,0.513,-50.0,-2.0,-14.0,-52.0,-36.0,16.0
Germany,2020-03-21,4049.0,2160,2.0,5,0.537,-69.0,-24.0,-31.0,-59.0,-31.0,13.0
Germany,2020-03-22,3276.0,2524,22.0,8,0.8,-71.0,-35.0,1.0,-58.0,-34.0,10.0
Germany,2020-03-23,3311.0,2848,27.0,11,1.122,-57.0,-16.0,-5.0,-56.0,-41.0,16.0
Germany,2020-03-24,4438.0,3314,32.0,16,1.504,-59.0,-18.0,9.0,-56.0,-43.0,18.0
Germany,2020-03-25,2342.0,3485,23.0,19,1.778,-58.0,-18.0,11.0,-56.0,-43.0,18.0
Germany,2020-03-26,4954.0,4044,49.0,26,2.363,-59.0,-16.0,3.0,-57.0,-44.0,18.0
Germany,2020-03-27,5780.0,4021,55.0,30,3.02,-59.0,-14.0,21.0,-56.0,-44.0,19.0
Germany,2020-03-28,6294.0,4342,72.0,40,3.8789999999999996,-66.0,-21.0,33.0,-53.0,-33.0,12.0
Germany,2020-03-29,3965.0,4440,64.0,46,4.643,-77.0,-51.0,-49.0,-68.0,-39.0,11.0
Germany,2020-03-30,4751.0,4646,66.0,51,5.431,-54.0,-16.0,-13.0,-56.0,-43.0,17.0
Germany,2020-03-31,4615.0,4671,128.0,65,6.957999999999999,-53.0,-12.0,7.0,-53.0,-43.0,17.0
Germany,2020-04-01,5453.0,5116,149.0,83,8.737,-52.0,-13.0,20.0,-53.0,-43.0,17.0
Germany,2020-04-02,6156.0,5287,140.0,96,10.408,-54.0,-11.0,6.0,-54.0,-43.0,17.0
Germany,2020-04-03,6174.0,5344,145.0,109,12.138,-57.0,-11.0,-13.0,-57.0,-44.0,19.0
Germany,2020-04-04,6082.0,5313,141.0,119,13.821,-63.0,-16.0,21.0,-52.0,-31.0,12.0
