"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_05-06,KLO_06-07,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22
1252,st866_Kuusamo_T,2020/06/01,1,"11 HA-PA",,,4,,,1,5,3,,,,,1,,,
1252,st866_Kuusamo_T,2020/06/01,1,"15 KATP",,,1,1,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/06/01,2,"11 HA-PA",,,,,,1,3,1,1,1,,,2,1,3,
1252,st866_Kuusamo_T,2020/06/01,2,"15 KATP",,,,,1,,,1,,,1,1,,,,
1252,st866_Kuusamo_T,2020/06/02,1,"11 HA-PA",,,3,2,,1,2,2,1,1,,,,,,
1252,st866_Kuusamo_T,2020/06/02,1,"12 KAIP",,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/06/02,1,"15 KATP",,,,1,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/06/02,2,"11 HA-PA",,,,,,1,3,,1,1,2,,,1,2,
1252,st866_Kuusamo_T,2020/06/02,2,"15 KATP",,,,,,,1,,,1,,1,,,,
1252,st866_Kuusamo_T,2020/06/03,1,"11 HA-PA",,,3,,1,1,3,2,,,,1,,,,
1252,st866_Kuusamo_T,2020/06/03,1,"15 KATP",,,1,2,,2,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/06/03,2,"11 HA-PA",,,,,,2,3,1,,,1,1,1,,2,
1252,st866_Kuusamo_T,2020/06/03,2,"15 KATP",,,,,,,,1,,2,2,,1,,,
1252,st866_Kuusamo_T,2020/06/04,1,"11 HA-PA",,,4,1,1,,1,,1,,,3,,,,
1252,st866_Kuusamo_T,2020/06/04,1,"12 KAIP",,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/06/04,1,"15 KATP",,,1,,,1,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/06/04,2,"11 HA-PA",,,,1,,,1,2,,,2,,2,,2,
1252,st866_Kuusamo_T,2020/06/04,2,"15 KATP",,,,,,,,1,,1,1,1,,,,
1252,st866_Kuusamo_T,2020/06/05,1,"11 HA-PA",,,3,,,2,2,2,1,,,,1,,,
1252,st866_Kuusamo_T,2020/06/05,1,"15 KATP",,,,3,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/06/05,2,"11 HA-PA",1,,,,,1,2,3,,,1,1,,1,3,
1252,st866_Kuusamo_T,2020/06/05,2,"15 KATP",,,,,,,,1,1,2,,,,,,
1252,st866_Kuusamo_T,2020/06/06,1,"11 HA-PA",,,3,,,,2,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/06/06,2,"11 HA-PA",,,,,,,4,,,,1,,,,3,
1252,st866_Kuusamo_T,2020/06/07,1,"11 HA-PA",,,3,,,,2,4,,,,2,1,,,
1252,st866_Kuusamo_T,2020/06/07,2,"11 HA-PA",,,,,,1,2,1,,2,,1,1,1,3,
1252,st866_Kuusamo_T,2020/06/08,1,"11 HA-PA",,,4,1,1,,1,2,1,1,,1,,,,
1252,st866_Kuusamo_T,2020/06/08,1,"15 KATP",,,1,1,,,,,,1,2,,,,,
1252,st866_Kuusamo_T,2020/06/08,1,"16 HA + PK",,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/06/08,2,"11 HA-PA",,,,1,,1,2,,,1,1,2,1,1,2,
1252,st866_Kuusamo_T,2020/06/08,2,"15 KATP",,,,,,,,,2,1,,,,1,,
1252,st866_Kuusamo_T,2020/06/08,2,"16 HA + PK",,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/06/09,1,"11 HA-PA",,,4,1,,,1,1,1,1,,,,1,,
1252,st866_Kuusamo_T,2020/06/09,1,"15 KATP",,,2,,2,,,1,,1,1,,,,,
